tên_xe,giá,năm_sản_xuất,kiểu_dáng,tình_trạng,xuất_xứ,số_km_đã_đi,tỉnh_thành,hộp_số,nhiên_liệu
Hyundai Accent 1.4 AT 2021,430000000.0,Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 46.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Honda CR-V 1.5 G 2018,680000000.0,Năm SX 2018,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 70.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Kia Forte SLI 1.6 AT 2011,210000000.0,Năm SX 2011,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 100.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Mazda 6 2.5 2015,399000000.0,Năm SX 2015,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 68.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Mercedes-Benz AMG G63 2022,9899000000.0,Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 15.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
MG 7 2025,630000000.0,Năm SX 2025,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 26.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
VinFast VF e34 Tiêu chuẩn 2022,450000000.0,Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 60.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Hyundai Grand i10 Hatchback 1.2 MT Base 2016,145000000.0,Năm SX 2016,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 140.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số sàn,Nhiên liệu Máy xăng
Mazda 3 1.6 AT 2018,420000000.0,Năm SX 2018,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 85.000 km,"Tỉnh thành
Cần Thơ",Hộp số Số tự động,Nhiên liệu Máy xăng
MG ZS 1.5L LUX+ 2025,525000000.0,Năm SX 2025,Kiểu dáng Crossover,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 5.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Hyundai Grand i10 Sedan 1.2 MT 2016,135000000.0,Năm SX 2016,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 199.999 km,"Tỉnh thành
Hải Phòng",Hộp số Số sàn,Nhiên liệu Máy xăng
Honda Civic 1.8 MT 2008,170000000.0,Năm SX 2008,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 100.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số sàn,Nhiên liệu Máy xăng
Ford Transit Tiêu chuẩn 2020,430000000.0,Năm SX 2020,Kiểu dáng Van/Minivan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 345 km,"Tỉnh thành
Khánh Hòa",Hộp số Số sàn,Nhiên liệu Máy dầu
Toyota Vios 1.5G AT 2019,305000000.0,Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 270.000 km,"Tỉnh thành
Bình Dương",Hộp số Số tự động,Nhiên liệu Máy xăng
Ford Everest Titanium 2.2L 4x2 AT 2018,760000000.0,Năm SX 2018,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 101.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Kia Cerato Koup 2.0 AT 2010,219000000.0,Năm SX 2010,Kiểu dáng Coupe,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 160.000 km,"Tỉnh thành
Bến Tre",Hộp số Số tự động,Nhiên liệu Máy xăng
Mitsubishi Outlander 2.0 CVT Premium 2022,720000000.0,Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 59.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Ferrari F8 Spider 2022,26999000000.0,Năm SX 2022,Na,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 7.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
BMW X6 2020,2638000000.0,Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 54.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Ford Ranger XLS 2.0L 4x2 AT 2021,545000000.0,Năm SX 2021,Kiểu dáng Bán tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 90.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy dầu
Kia Cerato Koup 2.0 AT 2010,219000000.0,Năm SX 2010,Kiểu dáng Coupe,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 160.000 km,"Tỉnh thành
Bến Tre",Hộp số Số tự động,Nhiên liệu Máy xăng
