tên_xe,giá,năm_sản_xuất,kiểu_dáng,tình_trạng,xuất_xứ,số_km_đã_đi,tỉnh_thành,hộp_số,nhiên_liệu
Honda City Rs 2022,4200000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,27000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mitsubishi Triton 4×4 At 2013,2950000000,2013,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,140000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Wildtrak 2.0L 4X4 At 2018,5900000000,2018,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,100000,"Tỉnh Thành
Phú Thọ",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Ford Ranger Xls 2.2 4X2 At 2016,3950000000,2016,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,78000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Xls 2.2 4X2 At 2016,3950000000,2016,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,78000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Vinfast Vf8 Eco 2023,7770000000,2023,Kiểu Dáng Crossover,Tình Trạng Xe Cũ,Trong Nước,40000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Điện
Kia Cerato 2.0 At Premium 2019,4500000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,64000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mazda Cx-8 Premium 2023,9600000000,2023,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,7000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Santa Fe 2.4L Xăng Tiêu Chuẩn 2017,5500000000,2017,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,130000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Honda Civic 1.8 At 2019,4950000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,65000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Morning S 1.25 At 2017,2750000000,2017,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Trong Nước,100000,"Tỉnh Thành
Phú Thọ",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Grand I10 Sedan 1.2 Mt 2019,2200000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,230000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Ford Ranger Xls 2.0L 4X2 At 2022,6680000000,2022,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,60000,"Tỉnh Thành
Đồng Nai",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Vinfast Lux A2.0 Cao Cấp 2019,5500000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,70000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Xls 2.2L 4X2 Mt 2017,4300000000,2017,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Nhập Khẩu,110000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Mercedes-Benz C300 Amg 2021,14680000000,2021,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,9000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Peugeot 3008 Allure 2018,5550000000,2018,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,98000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Nissan Navara El 2020,4850000000,2020,Na,Tình Trạng Xe Cũ,Trong Nước,100000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mazda 6 2.0 At 2018,5050000000,2018,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,100000,"Tỉnh Thành
Phú Thọ",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Santa Fe 2.2 Dầu Đặc Biệt 2022,10700000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,58000,"Tỉnh Thành
Phú Thọ",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Ford Ranger Wildtrak 2.0L 4X4 At 2021,7500000000,2021,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Nhập Khẩu,60000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Volvo Xc90 2022,33000000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,19000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Hybrid
Lexus Es 250 2021,19800000000,2021,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,29000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Accent 1.4 Mt Tiêu Chuẩn 2021,3100000000,2021,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,96000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Lexus Gx 460 2016,23500000000,2016,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,68000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Xls 2.2 4X2 At 2022,5850000000,2022,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,40000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Lexus Gx 460 2016,23500000000,2016,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,68000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Fortuner 2.7V 2017,6350000000,2017,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,1,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz Glc 200 4Matic 2022,11800000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,59000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Vinfast Lux A2.0 Cao Cấp 2020,5800000000,2020,Na,Tình Trạng Xe Cũ,Trong Nước,76000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ecosport Titanium 1.5L At 2015,2950000000,2015,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,120000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mini Cooper S 3 Cửa 2022,15900000000,2022,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,9500,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Lexus Gx 470 2007,6500000000,2007,Na,Tình Trạng Xe Cũ,Nhập Khẩu,162000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Cerato 1.6 At Luxury 2018,3990000000,2018,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,91289,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mazda 3 1.5L Sedan 2019,4550000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,65689,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Vinfast Lux A2.0 Cao Cấp 2019,4990000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,67899,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz Glc 300 4Matic 2023,22980000000,2023,Na,Tình Trạng Xe Cũ,Trong Nước,28000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Forte Sx 1.6 At 2009,2350000000,2009,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,200000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Xls 2.2L 4X2 Mt 2019,4850000000,2019,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,85000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Sàn,Nhiên Liệu Máy Dầu
Kia Carens Sx 2.0 At 2012,2250000000,2012,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,130000,"Tỉnh Thành
Hưng Yên",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Corolla Altis 2.0V  2014,3700000000,2014,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,120000,"Tỉnh Thành
Hưng Yên",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Grand I10 Sedan 1.2 Mt 2018,2180000000,2018,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,120000,"Tỉnh Thành
Hưng Yên",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Kia Rondo 1.7 Dat 2015,3500000000,2015,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,130000,"Tỉnh Thành
Hưng Yên",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Toyota Vios 1.5E Mt 2018,2790000000,2018,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,120000,"Tỉnh Thành
Hưng Yên",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Ford Ranger Wildtrak 2.0L 4X4 At 2020,7150000000,2020,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,58000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Mercedes-Benz S450 4Matic Luxury 2019,21990000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,56000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Land Rover Range Rover Autobiography 3.0L P400 2020,63800000000,2020,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,40000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz Glc 300 4Matic 2019,10880000000,2019,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,83000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Carnival 2022,9980000000,2022,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,46000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Mercedes-Benz Glc 200 4Matic 2022,13990000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,45000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz C300 Amg 2019,10680000000,2019,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,49890,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz C300 Amg 2016,6300000000,2016,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,789000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Accent 1.4 At Đặc Biệt 2019,3650000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,60000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz E200 Exclusive 2020,10590000000,2020,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,50000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Xls 2.2 4X2 At 2015,3980000000,2015,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Nhập Khẩu,100,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Lexus Rx 350 2024,35000000000,2024,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,10000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Suzuki Vitara 1.6 At 2015,3500000000,2015,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,82000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Porter Ii 2016,3600000000,2016,Kiểu Dáng Xe Tải,Tình Trạng Xe Cũ,Nhập Khẩu,60000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Dầu
Volvo S60 Inscription 2021,11000000000,2021,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,75000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Tucson 1.6 Turbo Htrac 2023,8880000000,2023,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Trong Nước,40000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Suzuki Blind Van Suzuki Blind Van 2022,2150000000,2022,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,52000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Volvo Xc60 B6 Awd Inscription 2021,15990000000,2021,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,80000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Vios 1.5G At 2019,3800000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,125000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Transit Mid Tiêu Chuẩn 2016,3750000000,2016,Kiểu Dáng Van/Minivan,Tình Trạng Xe Cũ,Trong Nước,80000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Dầu
Vinfast Lux A2.0 Nâng Cao 2021,5450000000,2021,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,79000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai I30 Cw 1.6 At 2009,2200000000,2009,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,120000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia K165 2016,2400000000,2016,Kiểu Dáng Xe Tải,Tình Trạng Xe Cũ,Trong Nước,10000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Dầu
Mercedes-Benz Amg G63 4.0 V8 2021,96500000000,2021,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,19999,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Suzuki Super Carry Van Blind Van 2015,1400000000,2015,Kiểu Dáng Van/Minivan,Tình Trạng Xe Cũ,Trong Nước,10000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Mitsubishi Outlander 2.4 Premium 2017,5750000000,2017,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,36000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Sonet 1.5 Premium 2023,5650000000,2023,Na,Tình Trạng Xe Cũ,Trong Nước,30000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Sonet 1.5 Deluxe 2023,4950000000,2023,Na,Tình Trạng Xe Cũ,Trong Nước,24000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz E200 E200 2019,10550000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,40000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Peugeot 408 Premium 2023,8900000000,2023,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,19000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Corolla Cross 1.8 V  2021,6850000000,2021,Na,Tình Trạng Xe Cũ,Trong Nước,61000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Kona 2.0 At Đặc Biệt 2019,4700000000,2019,Na,Tình Trạng Xe Cũ,Trong Nước,85000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Vinfast Vf E34 Tiêu Chuẩn 2022,4400000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,40000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Điện
Kia K3 2.0 Premium 2022,5250000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,40000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz C200 2.0 At 2016,5850000000,2016,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,70000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz Glc 250 4Matic 2017,8200000000,2017,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,94000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz Glc 200 4Matic 2018,8800000000,2018,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,86000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Honda City 1.5 L 2022,4450000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,70000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Veloz 2025,6090000000,2025,Na,Tình Trạng Xe Cũ,Trong Nước,10000,"Tỉnh Thành
Đồng Nai",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Sedona 2.2 Dath 2018,6800000000,2018,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,81000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Mercedes-Benz Glb 200 2022,12580000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,46000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mg Rx5 1.5 Lux 2024,6650000000,2024,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,1000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Kona 2.0 At Tiêu Chuẩn 2019,4400000000,2019,Na,Tình Trạng Xe Cũ,Trong Nước,80000,"Tỉnh Thành
Long An",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Transit Svp Bản Trung 2019,4550000000,2019,Kiểu Dáng Van/Minivan,Tình Trạng Xe Cũ,Trong Nước,80000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Dầu
Ford Ecosport Ambiente 1.5L At 2017,3100000000,2017,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,100000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Raptor 2023,11200000000,2023,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Nhập Khẩu,44000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Ford Ranger Wildtrak 2.0L 4X4 At 2023,8550000000,2023,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Trong Nước,33000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Kia K3 1.6At 2022,5400000000,2022,Na,Tình Trạng Xe Cũ,Trong Nước,45000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Sonet 1.5 Premium 2024,5880000000,2024,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Trong Nước,20000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Suzuki Swift 2014,2550000000,2014,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,86000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mitsubishi Xpander Cross 1.5 At 2020,4750000000,2020,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,61000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Carens Sx 2.0 At 2011,2300000000,2011,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,120000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Tucson 1.6 Turbo Htrac 2025,9800000000,2025,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,4000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Raptor 2022,9750000000,2022,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Nhập Khẩu,50000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Lexus Rx 350 Luxury 2016,20500000000,2016,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,160000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Vinfast Vf 3 2025,3050000000,2025,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Trong Nước,550,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Điện
Honda Cr-V 1.5 L 2020,8150000000,2020,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,68000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Sorento 2Wd 2.2 Dath 2019,6550000000,2019,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,93000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Chevrolet Captiva Maxx Ltz 2.4 2011,2350000000,2011,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,126000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Rondo 1.7 Dat 2015,3500000000,2015,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,130000,"Tỉnh Thành
Hưng Yên",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Toyota Vios 1.5E Mt 2018,2790000000,2018,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,120000,"Tỉnh Thành
Hưng Yên",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Kia Carens Sx 2.0 At 2012,2250000000,2012,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,130000,"Tỉnh Thành
Hưng Yên",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Transit Tiêu Chuẩn 2023,6500000000,2023,Kiểu Dáng Van/Minivan,Tình Trạng Xe Cũ,Trong Nước,80000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Dầu
Toyota Land Cruiser Prado Tx-L 2014,9600000000,2014,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,120000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Fortuner 2021,9280000000,2021,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,60000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Hyundai Palisade Prestige 7 Chỗ 2023,13800000000,2023,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,40000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Hyundai Santa Fe 2.2L Dầu Cao Cấp 2022,11790000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,50000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Hyundai Santa Fe 2.5 Xăng Cao Cấp 2024,12190000000,2024,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,40000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Explorer 2.3L Ecoboost 2023,17800000000,2023,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,10000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Land Cruiser Prado Gx 2019,19290000000,2019,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,100000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Daewoo Matiz 2009,1380000000,2009,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,200000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Territory Titanium X 2025,8750000000,2025,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,2000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Camry 2.0G 2021,8350000000,2021,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,20000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Everest Titanium 2.0L At 4Wd 2022,12650000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,70000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
