tên_xe,giá,năm_sản_xuất,kiểu_dáng,tình_trạng,xuất_xứ,số_km_đã_đi,tỉnh_thành,hộp_số,nhiên_liệu
Mazda 6 2.5 2015,3990000000,2015,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,68000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz Amg G63 2022,98990000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,15000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mg 7 2025,6300000000,2025,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,26000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Vinfast Vf E34 Tiêu Chuẩn 2022,4500000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,60000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Grand I10 Hatchback 1.2 Mt Base 2016,1450000000,2016,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,140000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Mazda 3 1.6 At 2018,4200000000,2018,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,85000,"Tỉnh Thành
Cần Thơ",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mg Zs 1.5L Lux+ 2025,5250000000,2025,Kiểu Dáng Crossover,Tình Trạng Xe Cũ,Nhập Khẩu,5000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Grand I10 Sedan 1.2 Mt 2016,1350000000,2016,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,199999,"Tỉnh Thành
Hải Phòng",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Honda Civic 1.8 Mt 2008,1700000000,2008,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,100000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Ford Transit Tiêu Chuẩn 2020,4300000000,2020,Kiểu Dáng Van/Minivan,Tình Trạng Xe Cũ,Nhập Khẩu,345,"Tỉnh Thành
Khánh Hòa",Hộp Số Số Sàn,Nhiên Liệu Máy Dầu
Toyota Vios 1.5G At 2019,3050000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,270000,"Tỉnh Thành
Bình Dương",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Everest Titanium 2.2L 4X2 At 2018,7600000000,2018,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,101000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Cerato Koup 2.0 At 2010,2190000000,2010,Kiểu Dáng Coupe,Tình Trạng Xe Cũ,Nhập Khẩu,160000,"Tỉnh Thành
Bến Tre",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mitsubishi Outlander 2.0 Cvt Premium 2022,7200000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,59000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ferrari F8 Spider 2022,269990000000,2022,Na,Tình Trạng Xe Cũ,Nhập Khẩu,7000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Bmw X6 2020,26380000000,2020,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,54000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Xls 2.0L 4X2 At 2021,5450000000,2021,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Nhập Khẩu,90000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Kia Cerato Koup 2.0 At 2010,2190000000,2010,Kiểu Dáng Coupe,Tình Trạng Xe Cũ,Nhập Khẩu,160000,"Tỉnh Thành
Bến Tre",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mitsubishi Outlander 2.0 Cvt Premium 2022,7200000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,59000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ferrari F8 Spider 2022,269990000000,2022,Na,Tình Trạng Xe Cũ,Nhập Khẩu,7000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Bmw X6 2020,26380000000,2020,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,54000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ranger Xls 2.0L 4X2 At 2021,5450000000,2021,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Nhập Khẩu,90000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Mg Zs 1.5L Lux+ 2025,5250000000,2025,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,1000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
